Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
200m,Men,7,2:15.2,Johnny Weissmuller,United States,1925-12-09,-,"McKeesport, United States"
200m,Men,8,2:08.0,Johnny Weissmuller,United States,1927-04-05,-,"Ann Arbor, United States"
200m,Men,9,2:07.2,Jack Medica,United States,1935-04-12,-,"Chicago, United States"
200m,Men,10,2:06.2,Bill Smith,United States,1944-02-12,-,"Columbus, United States"
200m,Men,11,2:05.4,Alex Jany,France,1946-09-20,-,"Marseille, France"
200m,Men,12,2:04.6,John Marshall,Australia,1950-03-31,Yale (?),"New Haven, United States"
200m,Men,13,2:03.9,Ford Konno,United States,1954-02-27,-,"Columbus, Australia"
200m,Men,14,2:03.4,Jack Wardrop,Great Britain,1955-03-04,-,"Columbus, United States"
200m,Men,15,2:01.5,Dick Hanley,United States,1957-03-08,-,"Minneapolis, United States"
200m,Men,16,2:04.8,John Konrads,Australia,1958-01-08,-,"Sydney, Australia"
200m,Men,17,2:03.2,John Konrads,Australia,1958-05-05,-,"Sydney, Australia"
200m,Men,18,2:03.0,Tsuyoshi Yamanaka,Japan,1958-08-22,-,"Osaka, Japan"
200m,Men,19,2:02.2,John Konrads,Australia,1959-01-16,-,"Sydney, Australia"
200m,Men,20,2:01.5,Tsuyoshi Yamanaka,Japan,1959-07-26,-,"Osaka, Japan"
200m,Men,21,2:01.2,Tsuyoshi Yamanaka,Japan,1961-06-24,-,"Osaka, Japan"
200m,Men,22,2:01.1,Tsuyoshi Yamanaka,Japan,1961-08-06,-,"Tokyo, Japan"
200m,Men,23,2:00.4,Tsuyoshi Yamanaka,Japan,1961-08-20,Men’s National Outdoor Championships,"Los Angeles, United States"
200m,Men,23,2:00.4,Don Schollander,United States,1962-08-11,Men’s National Outdoor Championships,"Cuyahoga Falls, United States"
200m,Men,25,2:00.3,Bob Windle,Australia,1963-04-21,-,"tokyo, Japan"
200m,Men,26,1:58.8,Don Schollander,United States,1963-07-27,5th Annual Los Angeles Invitiational,"Los Angeles, United States"
200m,Men,27,1:58.5,Don Schollander,United States,1963-08-17,6th US-Japan swimming and diving meet,"Tokyo, Japan"
200m,Men,28,1:58.4,Don Schollander,United States,1963-08-24,-,"Osaka, Japan"
200m,Men,29,1:58.2,Hans-Joachim Klein,West Germany,1964-05-24,-,"Dortmund, West Germany"
200m,Men,30,1:57.6,Don Schollander,United States,1964-08-01,US National Championships,"Los Altos, United States"
200m,Men,31,1:57.2,Don Schollander,United States,1966-07-29,-,"Los Angeles, United States"
200m,Men,32,1:56.2,Don Schollander,United States,1966-08-19,-,"Lincoln, United States"
200m,Men,33,1:56.0,Don Schollander,United States,1967-07-29,Pan American Games,"Winnipeg, Canada"
200m,Men,34,1:55.7,Don Schollander,United States,1967-08-12,AAU National Outdoor Championships,"Oak Park, United States"
200m,Men,35,1:54.8,Don Schollander,United States,1968-08-30,US Olympic Trials,"Long Beach, United States"
200m,Men,36,1:54.3,Don Schollander,United States,1968-08-30,US Olympic Trials,"Long Beach, United States"
200m,Men,36,1:54.3,Mark Spitz,United States,1969-07-12,Santa Clara Invitational,"Santa Clara, United States"
200m,Men,38,1:54.2,Mark Spitz,United States,1971-09-04,USA vs. GDR Dual Meet,"Leipzig, East Germany"
200m,Men,39,1:53.5,Mark Spitz,United States,1971-09-10,USA vs. USSR vs. GBR Meet,"Minsk, Soviet Union"
200m,Men,40,1:52.78,Mark Spitz,United States,1972-08-29,Olympic Games,"Munich, West Germany"
200m,Men,41,1:51.66,Tim Shaw,United States,1974-08-23,AAU National Outdoor Championships,"Concord, United States"
200m,Men,42,1:51.41,Bruce Furniss,United States,1975-06-18,US World Championship Trials,"Long Beach, United States"
200m,Men,43,1:50.89,Bruce Furniss,United States,1975-06-18,US World Championship Trials,"Long Beach, United States"
200m,Men,44,1:50.32,Bruce Furniss,United States,1975-08-21,AAU National Outdoor Championships,"Kansas City, United States"
200m,Men,45,1:50.29,Bruce Furniss,United States,1976-07-19,Olympic Games,"Montreal, Canada"
200m,Men,46,1:49.83,Sergey Kopliakov,Soviet Union,1979-04-07,USSR Vs. GDR Junior Meet,"Potsdam, East Germany"
200m,Men,47,1:49.16,Rowdy Gaines,United States,1980-04-11,AAU National Indoor Championships,"Austin, United States"
200m,Men,48,1:48.93,Rowdy Gaines,United States,1982-07-19,US World Championship Trials,"Mission Viejo, United States"
200m,Men,49,1:48.28,Michael Gross,West Germany,1983-06-22,FRG Nationals,"Hanover, West Germany"
200m,Men,50,1:47.87,Michael Gross,West Germany,1983-08-22,European Championships,"Rome, Italy"
200m,Men,51,1:47.55,Michael Gross,West Germany,1984-06-08,FRG Nationals,"Munich, West Germany"
200m,Men,52,1:47.44,Michael Gross,West Germany,1984-07-29,Olympic Games,"Los Angeles, United States"
200m,Men,53,1:47.25,Duncan Armstrong,Australia,1988-09-19,Olympic Games,"Seoul, South Korea"
200m,Men,54,1:46.69,Giorgio Lamberti,Italy,1989-08-15,European Championships,"Bonn, West Germany"
200m,Men,55,1:46.67,Grant Hackett,Australia,1999-03-23,Australian Championships,"Brisbane, Australia"
200m,Men,56,1:46.34,Ian Thorpe,Australia,1999-08-23,Pan Pacific Championships,"Sydney, Australia"
200m,Men,57,1:46.00,Ian Thorpe,Australia,1999-08-24,Pan Pacific Championships,"Sydney, Australia"
200m,Men,58,1:45.69,Ian Thorpe,Australia,2000-05-14,Australian Championships,"Sydney, Australia"
200m,Men,59,1:45.51,Ian Thorpe,Australia,2000-05-15,Australian Championships,"Sydney, Australia"
