Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
50m,Men,1,23.86,Jonty Skinner,South Africa,1976-08-14,US National Championships,"Philadelphia, United States"
50m,Men,2,23.74,Joe Bottom,United States,1977-07-03,Canada Cup,"Etobicoke, Canada"
50m,Men,3,23.72,Ron Manganiello,United States,1978-07-29,-,"Miami, United States"
50m,Men,4,23.7,Klaus Steinbach,West Germany,1979-07-23,-,"Freiburg, West Germany"
50m,Men,5,23.66,Chris Cavanaugh,United States,1980-02-02,International Invitational,"Amersfoort, Netherlands"
50m,Men,6,23.12,Chris Cavanaugh,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Men,7,22.96,Rowdy Gaines,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Men,8,22.83,Bruce Stahl,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Men,8,22.83,Joe Bottom,United States,1980-08-15,Hawaiian Invitational,"Honolulu, United States"
50m,Men,10,22.71,Joe Bottom,United States,1980-08-15,Hawaiian Invitational,"Honolulu, United States"
50m,Men,11,22.54,Robin Leamy,United States,1981-08-15,US National Championships,"Brown Deer, United States"
50m,Men,12,22.52,Dano Halsall,Switzerland,1985-07-21,Swiss Championships,"Bellinzona, Switzerland"
50m,Men,13,22.4,Tom Jager,United States,1985-12-06,USS Invitational,"Austin, United States"
50m,Men,14,22.33,Matt Biondi,United States,1986-06-26,USA World Championship Trials,"Orlando, United States"
50m,Men,14,22.33,Matt Biondi,United States,1987-07-30,US National Championships,"Clovis, United States"
50m,Men,16,22.32,Tom Jager,United States,1987-08-13,Pan Pacific Championships,"Brisbane, Australia"
50m,Men,17,22.23,Tom Jager,United States,1988-03-25,US Spring National Championships,"Orlando, United States"
50m,Men,-,22.18,Peter Williams,South Africa,1988-04-10,CSCA Invitational,"Indianapolis, United States"
50m,Men,18,22.14,Matt Biondi,United States,1988-09-24,Olympic Games,"Seoul, South Korea"
50m,Men,19,22.12,Tom Jager,United States,1989-08-20,Pan Pacific Championships,"Tokyo, Japan"
50m,Men,20,21.98,Tom Jager,United States,1990-03-24,US Sprint Championships,"Nashville, United States"
50m,Men,21,21.81,Tom Jager,United States,1990-03-24,US Sprint Championships,"Nashville, United States"
50m,Men,22,21.64,Alexander Popov,Russia,2000-06-16,Russian Championships,"Moscow, Russia"
50m,Men,23,21.56,Eamon Sullivan,Australia,2008-02-17,NSW Championships,"Sydney, Australia"
50m,Men,24,21.5,Alain Bernard,France,2008-03-23,European Championships,"Eindhoven, Netherlands"
50m,Men,25,21.41,Eamon Sullivan,Australia,2008-03-27,Australian Championships,"Sydney, Australia"
50m,Men,26,21.28,Eamon Sullivan,Australia,2008-03-28,Australian Championships,"Sydney, Australia"
50m,Men,27,20.94,Frédérick Bousquet,France,2009-04-26,French Championships,"Montpellier, France"
50m,Men,28,20.91,César Cielo,Brazil,2009-12-18,Brazilian Championships,"São Paulo, Brazil"
50m,Men,29,20.88,Cameron McEvoy,Australia,2026-03-20,China Open,"Shenzhen, China"
50m,Women,1,26.99,Kornelia Ender,East Germany,1975-07-26,World Championships,"Cali, Colombia"
50m,Women,2,26.95,Johanna Malloy,Canada,1977-08-16,Canadian Summer Games,"St. John's, NL, Canada"
50m,Women,3,26.74,Anne Jardin,Canada,1978-08-19,Canadian Championships,"Etobicoke, Canada"
50m,Women,4,26.61,Cynthia Woodhead,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Women,5,26.53,Kelly Asplund,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Women,6,26.32,Jill Sterkel,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Women,7,25.96,Jill Sterkel,United States,1980-04-10,US Spring National Championships,"Austin, United States"
50m,Women,8,25.79,Jill Sterkel,United States,1981-04-03,Longhorn Invitational,"Austin, United States"
50m,Women,9,25.69,Dara Torres,United States,1983-01-29,Speedo International,"Amersfoort, Netherlands"
50m,Women,10,25.64,Annemarie Verstappen,Netherlands,1983-07-09,Dutch Championships,"Amersfoort, Netherlands"
50m,Women,11,25.62,Dara Torres,United States,1983-08-05,US National Championships,"Clovis, United States"
50m,Women,12,25.61,Dara Torres,United States,1984-07-21,Pre-Olympic meet,"Mission Viejo, United States"
50m,Women,13,25.5,Tamara Costache,Romania,1986-07-16,Romanian Championships,"Bucharest, Romania"
50m,Women,14,25.34,Tamara Costache,Romania,1986-07-16,Romanian Championships,"Bucharest, Romania"
50m,Women,15,25.31,Tamara Costache,Romania,1986-08-01,Balkan Games,"Sofia, Bulgaria"
50m,Women,16,25.28,Tamara Costache,Romania,1986-08-23,World Championships,"Madrid, Spain"
50m,Women,17,24.98,Yang Wenyi,China,1988-04-11,Asian Championships,"Guangzhou, China"
50m,Women,18,24.79,Yang Wenyi,China,1992-07-31,Olympic Games,"Barcelona, Spain"
50m,Women,19,24.51,Le Jingyi,China,1994-09-11,World Championships,"Rome, Italy"
50m,Women,19,24.51,Inge de Bruijn,Netherlands,2000-05-26,Super Speedo Grand Prix,"Sheffield, United Kingdom"
50m,Women,21,24.48,Inge de Bruijn,Netherlands,2000-06-04,Dutch Championships,"Drachten, Netherlands"
50m,Women,22,24.39,Inge de Bruijn,Netherlands,2000-06-10,Trofeu Jose Finkel,"Rio de Janeiro, Brazil"
50m,Women,23,24.13,Inge de Bruijn,Netherlands,2000-09-22,Olympic Games,"Sydney, Australia"
50m,Women,24,24.09,Marleen Veldhuis,Netherlands,2008-03-24,European Championships,"Eindhoven, Netherlands"
50m,Women,25,23.97,Libby Trickett,Australia,2008-03-29,Australian Championships,"Sydney, Australia"
50m,Women,26,23.96,Marleen Veldhuis,Netherlands,2009-04-19,Amsterdam Swim Cup,"Amsterdam, Netherlands"
50m,Women,27,23.73,Britta Steffen,Germany,2009-08-02,World Championships,"Rome, Italy"
50m,Women,28,23.67,Sarah Sjöström,Sweden,2017-07-29,World Championships,"Budapest, Hungary"
50m,Women,29,23.61,Sarah Sjöström,Sweden,2023-07-29,World Championships,"Fukuoka, Japan"
50m,Women,30,23.59,Kate Douglass,United States,2026-06-19,Pro Swim Series,"Indianapolis, United States"
50m,Women,31,23.55,Gretchen Walsh,United States,2026-06-28,Sette Colli Trophy,"Rome, Italy"
50m,Women,32,23.49,Kate Douglass,United States,2026-08-15,Pan Pacific Championships,"Irvine, United States"
50m,Women,32,23.19,Kate Douglass,United States,2026-08-15,Pan Pacific Championships,"Irvine, United States"
100m,Men,1,1:05.8,Zoltán Halmay,Hungary,1905-12-03,–,"Vienna, Austria"
100m,Men,2,1:05.6,Charles Daniels,United States,1908-07-20,Olympic Games,"London, United Kingdom"
100m,Men,3,1:02.8,Charles Daniels,United States,1910-04-15,Special record attempt by the New York AC,"New York City, United States"
100m,Men,4,1:02.4,Kurt Bretting,Germany,1912-04-06,–,"Brussels, Belgium"
100m,Men,5,1:01.6,Duke Kahanamoku,United States,1912-07-20,German Championships,"Hamburg, Germany"
100m,Men,6,1:01.4,Duke Kahanamoku,United States,1918-08-09,International exhibition,"New York City, United States"
100m,Men,7,1:00.4,Duke Kahanamoku,United States,1920-08-24,Olympic Games,"Antwerp, Belgium"
100m,Men,8,58.6,Johnny Weissmuller,United States,1922-07-09,–,"Alameda, United States"
100m,Men,9,57.4,Johnny Weissmuller,United States,1924-02-17,–,"Miami, United States"
100m,Men,10,56.8,Peter Fick,United States,1934-03-02,Yale University Swimming Carnival,"New Haven, United States"
100m,Men,11,56.6,Peter Fick,United States,1935-03-05,Yale University Swimming Carnival,"New Haven, United States"
100m,Men,12,56.4,Peter Fick,United States,1936-02-11,Yale Benefit Event for the US Olympic team,"New Haven, United States"
100m,Men,13,55.9,Alan Ford,United States,1944-04-13,Special record attempt,"New Haven, United States"
100m,Men,14,55.8,Alex Jany,France,1947-09-15,–,"Menton, France"
100m,Men,15,55.4,Alan Ford,United States,1948-06-29,New Haven Swim Club team time trial,"New Haven, United States"
100m,Men,16,54.8,Dick Cleveland,United States,1954-04-01,AAU Championships,"New Haven, United States"
100m,Men,17,55.4,Jon Henricks,Australia,1956-11-30,Olympic Games,"Melbourne, Australia"
100m,Men,18,55.2,John Devitt,Australia,1957-01-19,New South Wales State Championships,"Sydney, Australia"
100m,Men,19,54.6,John Devitt,Australia,1957-01-28,Queensland State Championships,"Brisbane, Australia"
100m,Men,20,54.4,Steve Clark,United States,1961-08-18,Men's NAAA Championships,"Los Angeles, United States"
100m,Men,21,53.6,Manuel dos Santos,Brazil,1961-09-20,Special record attempt by the CR Guanabara,"Rio de Janeiro, Brazil"
100m,Men,22,52.9,Alain Gottvallès,France,1964-09-13,–,"Budapest, Hungary"
100m,Men,22,52.9,Steve Clark,United States,1964-10-14,Olympic Games,"Tokyo, Japan"
100m,Men,24,52.6,Ken Walsh,United States,1967-07-27,Pan American Games,"Winnipeg, Canada"
100m,Men,24,52.6,Zac Zorn,United States,1968-09-02,US Olympic Trials (elec. 52.58),"Los Angeles, United States"
100m,Men,26,52.2,Michael Wenden,Australia,1968-10-19,Olympic Games,"Mexico City, Mexico"
100m,Men,27,51.94,Mark Spitz,United States,1970-08-23,AAU Championships,"Los Angeles, United States"
100m,Men,28,51.47,Mark Spitz,United States,1972-08-05,USA Olympic Trials,"Chicago, United States"
100m,Men,29,51.22,Mark Spitz,United States,1972-09-03,Olympic Games,"Munich, West Germany"
100m,Men,30,51.12,Jim Montgomery,United States,1975-06-21,AAU World Championship Trials,"Long Beach, United States"
100m,Men,31,51.11,Andy Coan,United States,1975-08-03,An Amateur Athletic Union Region Four meet,"Fort Lauderdale, United States"
100m,Men,32,50.59,Jim Montgomery,United States,1975-08-23,AAU Championships,"Kansas City, United States"
100m,Men,33,50.39,Jim Montgomery,United States,1976-07-24,Olympic Games,"Montreal, Canada"
100m,Men,34,49.99,Jim Montgomery,United States,1976-07-25,Olympic Games,"Montreal, Canada"
100m,Men,35,49.44,Jonty Skinner,South Africa,1976-08-14,AAU Championships,"Philadelphia, United States"
100m,Men,36,49.36,Rowdy Gaines,United States,1981-04-03,Longhorn Invitational,"Austin, United States"
100m,Men,37,49.24,Matt Biondi,United States,1985-08-06,USA Summer Nationals,"Mission Viejo, United States"
100m,Men,38,48.95,Matt Biondi,United States,1985-08-06,USA Summer Nationals,"Mission Viejo, United States"
100m,Men,39,48.74,Matt Biondi,United States,1986-06-24,US World Championships Trials,"Orlando, United States"
100m,Men,40,48.42,Matt Biondi,United States,1988-08-10,USA Olympic Trials,"Austin, United States"
100m,Men,41,48.21,Alexander Popov,Russia,1994-06-18,Mare Nostrum,"Monte-Carlo, Monaco"
100m,Men,42,48.18,Michael Klim,Australia,2000-09-16,Olympic Games,"Sydney, Australia"
